82446,6402100,單1059號以下,odd;<NUMBER:1059
82443,6402100,單1061號以上,odd;>NUMBER:1061
82446,6402100,雙  88號以下,even;<NUMBER:88
82448,6402100,雙  90號至1098號,even;~NUMBER:90:1098
82443,6402100,雙1100號以上,even;>NUMBER:1100
