84041,6401500,單 149號以下,odd;<NUMBER:149
84045,6401500,單 151號以上,odd;>NUMBER:151
84041,6401500,雙 200之   4號以下,even;<NUMBER:200之4
84045,6401500,雙 202號以上,even;>NUMBER:202
