10650,6300300,單  15號以下,odd;<NUMBER:15
10649,6300300,單  17號以上,odd;>NUMBER:17
10650,6300300,雙  22號以下,even;<NUMBER:22
10642,6300300,雙  24號至  32號,even;~NUMBER:24:32
10644,6300300,雙  34號以上,even;>NUMBER:34
