80053,6400600,單  95號以上,odd;>NUMBER:95
80053,6400600,雙 240號以上,even;>NUMBER:240
80250,6400800,單  93號以下,odd;<NUMBER:93
80250,6400800,雙 238號以下,even;<NUMBER:238
