30054,1001802,單 105號以下,odd;<NUMBER:105
30053,1001802,單 111號至 171號,odd;~NUMBER:111:171
30055,1001802,單 173號至 181號,odd;~NUMBER:173:181
30053,1001802,單 183號至 269號,odd;~NUMBER:183:269
30053,1001802,單 271號以上,odd;>NUMBER:271
30054,1001802,雙 150號以下,even;<NUMBER:150
30053,1001802,雙 152號以上,even;>NUMBER:152
