23667,6501300,單  57號以下,odd;<NUMBER:57
23666,6501300,單  59號以上,odd;>NUMBER:59
23667,6501300,雙  50號以下,even;<NUMBER:50
23666,6501300,雙  52號以上,even;>NUMBER:52
