80044,6400600,單 119號以上,odd;>NUMBER:119
80044,6400600,雙 110號以上,even;>NUMBER:110
80241,6400800,單 117號以下,odd;<NUMBER:117
80241,6400800,雙 108號以下,even;<NUMBER:108
