80048,6400600,單  87號以上,odd;>NUMBER:87
80048,6400600,雙  58號以上,even;>NUMBER:58
80272,6400800,單  85號以下,odd;<NUMBER:85
80272,6400800,雙  56號以下,even;<NUMBER:56
