40862,6600700,全,all
42752,6601700,單 175號以下,odd;<175號
42746,6601700,單 177號至 183號,odd;177號~183號
42752,6601700,雙 198號以下,even;<198號
42746,6601700,雙 200號至 218號,even;200號~218號
