70051,6703700,單  67號以下,odd;<NUMBER:67
70051,6703700,雙  72號以下,even;<NUMBER:72
70246,6703300,單  69號以上,odd;>NUMBER:69
70246,6703300,雙  74號以上,even;>NUMBER:74
