24142,6500200,單 105號以下,odd;<NUMBER:105
24143,6500200,單 107號以上,odd;>NUMBER:107
24142,6500200,雙 104號以下,even;<NUMBER:104
24143,6500200,雙 106號以上,even;>NUMBER:106
