40242,6600300,單 501號至 699號,odd;~NUMBER:501:699
40256,6600300,單 701號至 999號,odd;~NUMBER:701:999
40242,6600300,雙 502號至 698號,even;~NUMBER:502:698
40256,6600300,雙 700號至 998號,even;~NUMBER:700:998
40854,6600700,單 501號以下,odd;<NUMBER:501
40854,6600700,雙 500之   2號以下,even;<NUMBER:500之2
41258,6602800,單1001號以上,odd;>NUMBER:1001
41258,6602800,雙1002號以上,even;>NUMBER:1002
