63241,1000903,單 115號以下,odd;<NUMBER:115
63244,1000903,單 117號以上,odd;>NUMBER:117
63241,1000903,雙 110號以下,even;<NUMBER:110
63244,1000903,雙 112號以上,even;>NUMBER:112
