95091,1001401,單  31號至 185號,odd;~NUMBER:31:185
95091,1001401,單 205號至 401號,odd;~NUMBER:205:401
95091,1001401,雙 172號以下,even;<NUMBER:172
95091,1001401,雙 180號至 402號,even;~NUMBER:180:402
