40758,6600600,單  61號以上,odd;>NUMBER:61
40758,6600600,雙  70號以上,even;>NUMBER:70
40848,6600700,單  47號以下,odd;<NUMBER:47
40848,6600700,雙  60號以下,even;<NUMBER:60
