20645,1001702,單   7號以下,odd;<NUMBER:7
20642,1001702,單   9號以上,odd;>NUMBER:9
20645,1001702,雙  18號以下,even;<NUMBER:18
20642,1001702,雙  20號以上,even;>NUMBER:20
