97055,1001501,單  93號以下,odd;<NUMBER:93
97056,1001501,單  95號以上,odd;>NUMBER:95
97055,1001501,雙  82號以下,even;<NUMBER:82
97056,1001501,雙  84號以上,even;>NUMBER:84
