50345,1000708,單  43號以下,odd;<NUMBER:43
50346,1000708,單  45號以上,odd;>NUMBER:45
50345,1000708,雙  48號以下,even;<NUMBER:48
50346,1000708,雙  50號以上,even;>NUMBER:50
