70251,6703300,單 103號以下,odd;<NUMBER:103
70250,6703300,單 105號以上,odd;>NUMBER:105
70251,6703300,雙  86號以下,even;<NUMBER:86
70250,6703300,雙  88號以上,even;>NUMBER:88
