10083,6300500,單   3號以下,odd;<NUMBER:3
10071,6300500,單   5號至  13號,odd;~NUMBER:5:13
10077,6300500,單  15巷至  17號,odd;~LANE:15:17
10071,6300500,單  19號至  33號,odd;~NUMBER:19:33
10072,6300500,單  35號至 125號,odd;~NUMBER:35:125
10073,6300500,單 127號以上,odd;>NUMBER:127
10083,6300500,雙  14號以下,even;<NUMBER:14
10071,6300500,雙  18號至  68號,even;~NUMBER:18:68
10072,6300500,雙  70號至 202號,even;~NUMBER:70:202
10073,6300500,雙 204號以上,even;>NUMBER:204
