35153,1000505,單 117號以下,odd;<NUMBER:117
35149,1000505,單 119號以上,odd;>NUMBER:119
35153,1000505,雙  90號以下,even;<NUMBER:90
35149,1000505,雙  92號以上,even;>NUMBER:92
35149,1000505,全,=SECTION:2;all
