51059,1000710,全,=SECTION:1;all
51044,1000710,連 497號以下,=SECTION:2;<NUMBER:497
51044,1000710,連 499號以上,=SECTION:2;>NUMBER:499
51005,1000710,　 498號,=SECTION:2;=NUMBER:498
