80794,6400500,雙 118號以下,even;<NUMBER:118
81359,6400300,單 243號至 299號,odd;~NUMBER:243:299
81358,6400300,單 301號至 541號,odd;~NUMBER:301:541
81359,6400300,雙 178號至 600號,even;~NUMBER:178:600
