22048,6500100,單 265號以下,odd;<NUMBER:265
22046,6500100,單 267號以上,odd;>NUMBER:267
22048,6500100,雙 290號以下,even;<NUMBER:290
22046,6500100,雙 292號以上,even;>NUMBER:292
