40683,6600800,單 247號至 259號,odd;~NUMBER:247:259
40683,6600800,雙 240號至 242號,even;~NUMBER:240:242
40761,6600600,單 245號以下,odd;<NUMBER:245
40761,6600600,雙 306號以下,even;<NUMBER:306
