81162,6400400,單 157號以下,odd;<NUMBER:157
81166,6400400,單 159號至 241號,odd;~NUMBER:159:241
81164,6400400,單 243號以上,odd;>NUMBER:243
81162,6400400,雙 166號以下,even;<NUMBER:166
81166,6400400,雙 168號至 336號,even;~NUMBER:168:336
81164,6400400,雙 338號以上,even;>NUMBER:338
