80043,6400600,單 107號以上,odd;>NUMBER:107
80043,6400600,雙 102號以上,even;>NUMBER:102
80251,6400800,單 105號以下,odd;<NUMBER:105
80251,6400800,雙 100號以下,even;<NUMBER:100
