10048,6300500,單 241號以下,=SECTION:1;odd;<NUMBER:241
10042,6300500,單 243號至 243之   1號,=SECTION:1;odd;~NUMBER:243:243之1
10048,6300500,雙 118號以下,=SECTION:1;even;<NUMBER:118
10042,6300500,雙 120號至 124號,=SECTION:1;even;~NUMBER:120:124
10850,6300700,單  75號以下,=SECTION:2;odd;<NUMBER:75
10849,6300700,單  77號至 119號,=SECTION:2;odd;~NUMBER:77:119
10848,6300700,單 121號以上,=SECTION:2;odd;>NUMBER:121
10850,6300700,雙  66號以下,=SECTION:2;even;<NUMBER:66
10849,6300700,雙  68號至 132號,=SECTION:2;even;~NUMBER:68:132
10848,6300700,雙 134號以上,=SECTION:2;even;>NUMBER:134
