10359,6300600,單  19號至 131巷,odd;~LANE:19:131
10358,6300600,單 133號至 171號,odd;~NUMBER:133:171
10346,6300600,單 173號至 213號,odd;~NUMBER:173:213
10347,6300600,單 215號至 305號,odd;~NUMBER:215:305
10359,6300600,雙  12號至 120號,even;~NUMBER:12:120
10358,6300600,雙 122號至 160巷,even;~LANE:122:160
10346,6300600,雙 162號至 204號,even;~NUMBER:162:204
10347,6300600,雙 206巷至 258號,even;~LANE:206:258
