26060,1000201,單   7號以下,odd;<NUMBER:7
26048,1000201,單   9號至  15號,odd;~NUMBER:9:15
26059,1000201,單  19號以上,odd;>NUMBER:19
26060,1000201,雙   6號以下,even;<NUMBER:6
26048,1000201,雙   8號以上,even;>NUMBER:8
26059,1000201,雙  26號以上,even;>NUMBER:26
