73743,6700200,單   5巷以下,odd;<LANE:5
73746,6700200,單 307號至 311巷,odd;~LANE:307:311
73743,6700200,雙   6號以下,even;<NUMBER:6
73746,6700200,雙 198號至 220號,even;~NUMBER:198:220
