32045,6800200,單  63號以下,odd;<63號
32048,6800200,單  65號至  75號,odd;65號~75號
32045,6800200,單  77號至  93號,odd;77號~93號
32045,6800200,雙  60號以下,even;<60號
32048,6800200,雙  62號至  90號,even;62號~90號
