10491,6300400,單  47號以下,1段;odd;<47號
10491,6300400,雙  18號以下,1段;even;<18號
10666,6300300,單  49號至  71號,1段;odd;49號~71號
10655,6300300,單  73號至 235號,1段;odd;73號~235號
10657,6300300,單 237號以上,1段;odd;>237號
10666,6300300,雙  20號至 148號,1段;even;20號~148號
10652,6300300,雙 150號至 230號,1段;even;150號~230號
10653,6300300,雙 232號至 258號,1段;even;232號~258號
10656,6300300,雙 260號以上,1段;even;>260號
10658,6300300,單  99號以下,2段;odd;<99號
10659,6300300,單 101號以上,2段;odd;>101號
10659,6300300,雙 260號以下,2段;even;<260號
10662,6300300,雙 262號以上,2段;even;>262號
