10058,6300500,雙  34號以下,=SECTION:1;even;<NUMBER:34
10455,6300400,單   9號至  43號,=SECTION:1;odd;~NUMBER:9:43
10456,6300400,單  45號至  53號,=SECTION:1;odd;~NUMBER:45:53
10457,6300400,單  55號以上,=SECTION:1;odd;>NUMBER:55
10442,6300400,雙  36號至  90號,=SECTION:1;even;~NUMBER:36:90
10443,6300400,雙  92號至 108之   3號,=SECTION:1;even;~NUMBER:92:108之3
10442,6300400,雙 110號以上,=SECTION:1;even;>NUMBER:110
10458,6300400,單  37號以下,=SECTION:2;odd;<NUMBER:37
10459,6300400,單  39號至 113號,=SECTION:2;odd;~NUMBER:39:113
10469,6300400,單 115號以上,=SECTION:2;odd;>NUMBER:115
10447,6300400,雙  86號以下,=SECTION:2;even;<NUMBER:86
10451,6300400,雙  88號以上,=SECTION:2;even;>NUMBER:88
10471,6300400,單  99號以下,=SECTION:3;odd;<NUMBER:99
10472,6300400,單 101號以上,=SECTION:3;odd;>NUMBER:101
10460,6300400,雙  86號以下,=SECTION:3;even;<NUMBER:86
10461,6300400,雙  88巷以上,=SECTION:3;even;>LANE:88
10666,6300300,單   7號以下,=SECTION:1;odd;<NUMBER:7
