10093,6300500,單   9號以下,odd;<NUMBER:9
10093,6300500,雙  20之   1號以下,even;<NUMBER:20之1
10642,6300300,單   9之   1號至 123號,odd;~NUMBER:9之1:123
10649,6300300,單 123之   1號以上,odd;>NUMBER:123之1
10642,6300300,雙  22號至 140號,even;~NUMBER:22:140
10649,6300300,雙 142號以上,even;>NUMBER:142
