80262,6400800,雙 184號以下,even;<NUMBER:184
80656,6400900,單 145號以下,odd;<NUMBER:145
80654,6400900,單 147號至 195號,odd;~NUMBER:147:195
80655,6400900,單 251號以上,odd;>NUMBER:251
80654,6400900,雙 186號至 282號,even;~NUMBER:186:282
80655,6400900,雙 288號以上,even;>NUMBER:288
