43755,6601100,連 238號以下,=SECTION:1;<NUMBER:238
43754,6601100,連 239號至 528號,=SECTION:1;~NUMBER:239:528
43954,6602200,連 110號以下,=SECTION:2;<NUMBER:110
43953,6602200,連 116號至 181號,=SECTION:2;~NUMBER:116:181
43963,6602200,連 190號以上,=SECTION:2;>NUMBER:190
