81367,6400300,單 139號以下,odd;<NUMBER:139
81365,6400300,單 141號以上,odd;>NUMBER:141
81367,6400300,雙 140號以下,even;<NUMBER:140
81365,6400300,雙 142號以上,even;>NUMBER:142
