70056,6703700,單  75號以下,odd;<NUMBER:75
70062,6703700,單  77號至  91號,odd;~NUMBER:77:91
70055,6703700,單  93號以上,odd;>NUMBER:93
70056,6703700,雙 112號以下,even;<NUMBER:112
70062,6703700,雙 114號至 128號,even;~NUMBER:114:128
70055,6703700,雙 130號以上,even;>NUMBER:130
