10462,6300400,單 135號以上,odd;>NUMBER:135
10462,6300400,雙 112巷以上,even;>LANE:112
11492,6301000,單  39號以下,odd;<NUMBER:39
11492,6301000,雙  32號以下,even;<NUMBER:32
