26566,1000202,單 167號以下,odd;<NUMBER:167
26561,1000202,單 169號以上,odd;>NUMBER:169
26566,1000202,雙 164號以下,even;<NUMBER:164
26561,1000202,雙 166號以上,even;>NUMBER:166
