40046,6600100,單  43號以上,odd;>NUMBER:43
40046,6600100,雙 158號以上,even;>NUMBER:158
40342,6600400,單  41號以下,odd;<NUMBER:41
40342,6600400,雙  24號以下,even;<NUMBER:24
