27041,1000203,單  81號至 145號,odd;~NUMBER:81:145
27045,1000203,單 147號至 211號,odd;~NUMBER:147:211
27048,1000203,單 213號以上,odd;>NUMBER:213
27041,1000203,雙  56號至 148號,even;~NUMBER:56:148
27045,1000203,雙 234號以上,even;>NUMBER:234
