33464,6800800,單 467號以下,odd;<NUMBER:467
33456,6800800,單 469號至 759號,odd;~NUMBER:469:759
33466,6800800,單 761號以上,odd;>NUMBER:761
33464,6800800,雙 758號以下,even;<NUMBER:758
33466,6800800,雙 760號以上,even;>NUMBER:760
