20843,6502700,全,all
24447,6501700,連 189號以下,=SECTION:1;<NUMBER:189
24447,6501700,連 191號以上,=SECTION:1;>NUMBER:191
24449,6501700,　 190巷全,=SECTION:1;=LANE:190
24457,6501700,全,=SECTION:2;all
