70056,6703700,單 107號以下,1段;odd;<107號
70062,6703700,單 109號至 153號,1段;odd;109號~153號
70055,6703700,單 155號以上,1段;odd;>155號
70056,6703700,雙 180號以下,1段;even;<180號
70055,6703700,雙 182號以上,1段;even;>182號
70059,6703700,單 243號以下,2段;odd;<243號
70054,6703700,單 245號至 255號,2段;odd;245號~255號
70053,6703700,單 257號以上,2段;odd;>257號
70054,6703700,雙  92號以下,2段;even;<92號
70059,6703700,雙  94號至 254號,2段;even;94號~254號
70053,6703700,雙 256號以上,2段;even;>256號
70458,6703400,單 301號以下,3段;odd;<301號
70451,6703400,單 303號以上,3段;odd;>303號
70458,6703400,雙 212號以下,3段;even;<212號
70450,6703400,雙 214號至 600號,3段;even;214號~600號
70465,6703400,雙 602號至 800號,3段;even;602號~800號
70460,6703400,雙 802號以上,3段;even;>802號
