30045,1001801,單  59號以下,odd;<59號
30045,1001802,單 101號至 213號,odd;101號~213號
30046,1001802,單 215號以上,odd;>215號
30045,1001802,雙 210號以下,even;<210號
30046,1001802,雙 212號以上,even;>212號
