10841,6300700,單  61號以下,odd;<NUMBER:61
10842,6300700,單  63號至  83號,odd;~NUMBER:63:83
10843,6300700,單  85號至 153號,odd;~NUMBER:85:153
10844,6300700,單 155號至 169號,odd;~NUMBER:155:169
10846,6300700,單 171號至 269號,odd;~NUMBER:171:269
10850,6300700,單 271號以上,odd;>NUMBER:271
10841,6300700,雙  14之   3號以下,even;<NUMBER:14之3
10842,6300700,雙  16號至  36號,even;~NUMBER:16:36
10843,6300700,雙  38號至  62號,even;~NUMBER:38:62
10844,6300700,雙  64號至  76號,even;~NUMBER:64:76
10846,6300700,雙  78號至 182號,even;~NUMBER:78:182
10850,6300700,雙 184號以上,even;>NUMBER:184
