11670,6300800,單   9號以下,odd;<NUMBER:9
11669,6300800,單  11號以上,odd;>NUMBER:11
11670,6300800,雙  90號以下,even;<NUMBER:90
11669,6300800,雙  92號以上,even;>NUMBER:92
