24890,6500500,單  27號以下,odd;<NUMBER:27
24890,6501500,單  31號至  63之   1號,odd;~NUMBER:31:63之1
24890,6500500,雙   8號以下,even;<NUMBER:8
24890,6501500,雙  10號至  60號,even;~NUMBER:10:60
