43743,6601100,單  89號以下,odd;<89號
43761,6601100,單  91號至 931號,odd;91號~931號
43755,6601100,單 933號至1699號,odd;933號~1699號
43768,6601100,單1765號以上,odd;>1765號
43741,6601100,雙   8號至  16號,even;8號~16號
43749,6601100,雙  56號至 776號,even;56號~776號
43761,6601100,雙 778號至 980號,even;778號~980號
43755,6601100,雙 982號至1692號,even;982號~1692號
43771,6601100,雙1718號至2740號,even;1718號~2740號
