95044,1001401,連   4號以下,<NUMBER:4
95042,1001401,　   5巷全,=LANE:5
95044,1001401,連   6號以上,>NUMBER:6
95543,1001405,全,all
95656,1001403,全,all
95851,1001406,全,all
96142,1001402,全,all
