23557,6500300,單  43號以下,odd;<NUMBER:43
23584,6500300,單  45號至  55號,odd;~NUMBER:45:55
23557,6500300,雙  44號以下,even;<NUMBER:44
23584,6500300,雙  46號至  58號,even;~NUMBER:46:58
