64052,1000901,單 817號以下,odd;<NUMBER:817
64056,1000901,單 819號以上,odd;>NUMBER:819
64052,1000901,雙 340號以下,even;<NUMBER:340
64056,1000901,雙 342號以上,even;>NUMBER:342
