80250,6400800,單 209號以上,odd;>NUMBER:209
80250,6400800,雙 210號以上,even;>NUMBER:210
80655,6400900,單 207號以下,odd;<NUMBER:207
80655,6400900,雙 208號以下,even;<NUMBER:208
