31064,1000402,單 145號以下,odd;<NUMBER:145
31051,1000402,單 147號以上,odd;>NUMBER:147
31064,1000402,雙 136號以下,even;<NUMBER:136
31051,1000402,雙 138號以上,even;>NUMBER:138
