90095,1001301,單 151巷以下,odd;<LANE:151
90086,1001301,單 153號以上,odd;>NUMBER:153
90095,1001301,雙 170號以下,even;<NUMBER:170
90086,1001301,雙 172號以上,even;>NUMBER:172
