80048,6400600,單 279號以下,odd;<NUMBER:279
80047,6400600,雙  18號至 182號,even;~NUMBER:18:182
80252,6400800,雙  16號以下,even;<NUMBER:16
80753,6400500,單 281號至 285號,odd;~NUMBER:281:285
