40354,6600400,單 117號以上,odd;>NUMBER:117
40354,6600400,雙 158號以上,even;>NUMBER:158
40453,6600500,單 115號以下,odd;<NUMBER:115
40453,6600500,雙 156號以下,even;<NUMBER:156
