70060,6703700,單   9號以下,odd;<NUMBER:9
70850,6703600,單  11號至 185號,odd;~NUMBER:11:185
70841,6703600,單 187號以上,odd;>NUMBER:187
70849,6703600,雙 632號以下,even;<NUMBER:632
70850,6703600,雙 634號至 850號,even;~NUMBER:634:850
70841,6703600,雙 852號以上,even;>NUMBER:852
