55751,1000804,單  11號以下,odd;<NUMBER:11
55767,1000804,單  13號至  49號,odd;~NUMBER:13:49
55751,1000804,雙   8號以下,even;<NUMBER:8
55767,1000804,雙  12之  41號至  46號,even;~NUMBER:12之41:46
