23586,6500300,單  89號以下,odd;<NUMBER:89
23585,6500300,單  91號以上,odd;>NUMBER:91
23586,6500300,雙  88號以下,even;<NUMBER:88
23585,6500300,雙  90號以上,even;>NUMBER:90
