71066,6703100,單 249號以下,odd;<NUMBER:249
71047,6703100,單 251號以上,odd;>NUMBER:251
71066,6703100,雙 298號以下,even;<NUMBER:298
71047,6703100,雙 300號以上,even;>NUMBER:300
