80454,6400200,連 199號以下,<NUMBER:199
81355,6400300,單 201號至 389號,odd;~NUMBER:201:389
81356,6400300,單 391號至 655號,odd;~NUMBER:391:655
81368,6400300,單 661號至1121號,odd;~NUMBER:661:1121
81369,6400300,單1123號至1199號,odd;~NUMBER:1123:1199
81361,6400300,單1201號以上,odd;>NUMBER:1201
81355,6400300,雙 200巷至 328之   1號,even;~LANE:200:328之1
81356,6400300,雙 330號至 632號,even;~NUMBER:330:632
81368,6400300,雙 672號至1098號,even;~NUMBER:672:1098
81369,6400300,雙1102號至1184號,even;~NUMBER:1102:1184
81361,6400300,雙1186號至1684號,even;~NUMBER:1186:1684
81368,6400300,雙1686號以上,even;>NUMBER:1686
